date,station,pms_ls,pms_rtt,pms_topp,ago_ls,ago_rtt,ago_topp,pmscl_stock,pms_prod,agocl_stock,ago_prod,pms_var,ago_var,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ccoast,919.12,,,433.09,,,17270,,2120,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,jukw,1340.43,,,661.51,,,12400,,3060,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ankwant,146.06,,,216.41,,,2860,,2340,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,elub,1600.64,,,1977.95,,,39050,,69500,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,tako,862.47,,,348.64,,,14400,,5980,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,daboa,469.29,,,755.33,,,5290,,9120,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,esip,216.08,,,84.95,,,9190,,3360,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,bawd,1354.08,,,1873,,,12020,,19990,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,debi,2983.45,,,519.71,,,33400,,38050,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,anymame,1921.96,,,2554.44,,,17390,,19510,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,tetr,201.27,,,91.07,,,16360,,3220,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,odor,246.48,20.26,,405.28,40.39,36,2520,,5080,4500,-13.78,8.89,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,shuk1,210.16,,,43.28,,,1690,,1780,,0.16,3.28,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,shuk2,277.74,,,84.62,,,2680,,1280,,37.74,-25.38,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,agbo,358.59,,,241.49,,,3710,,8800,,8.59,-18.51,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,nmai,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,oyib,1120.45,,,757.17,,,7780,,9830,,-79.55,17.17,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,danf,605.58,,,271.33,,,2980,,5480,,5.58,1.33,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,TAIF,816.11,,,237.625,,,3170,,4670,,16.11,7.625,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kata,441.73,20,,411.87,20,,3700,,9600,,-8.27,-18.13,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,botw,1279.38,,,996.12,,,3800,,16810,9000,79.38,-73.88,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,asha,424.23,,,1460.83,,,18780,,6490,,14.23,50.83,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ayik,466.39,,,36.18,,,2050,,3300,,-13.61,6.18,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,odum,266.33,,,156.33,,,4810,,5040,,-3.67,-3.67,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ashal1,31.31,,,12.92,,,1440,,2060,,11.31,-7.08,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ashal2,454.02,,,433.48,,,5820,,5850,,-35.98,43.48,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,nurse,147.33,,,48.45,,,3520,,3390,,-12.67,18.45,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,mayer,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,borts,466.59,,,1029.74,,,8650,,5300,4500,-3.41,-10.26,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ablek,235.3,,,88.54,,,4800,,3000,,-24.7,-11.46,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,danch,189.2,,,74.35,,,2980,,1940,,-0.8,14.35,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,aman,248.77,,,38.39,,,1090,,2870,,-21.23,8.39,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,bego,890.83,,,1295.3,,,9840,,4170,,10.83,15.3,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,teach,375.26,,,401.7,,,7980,,12350,4500,5.26,-118.3,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,asiak,352.77,,,1000.62,,,11460,,9300,,-37.23,20.62,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,adeis,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kofo,92.9,,,280.36,,,5380,,8290,,-17.1,40.36,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ason,238.39,,,390.83,,,8000,,4350,,8.39,20.83,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,akiman,854.06,,,137.95,,,2760,,1050,,4.06,-12.05,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,asonk,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ynkrum,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,essien,461.36,,,145.8,,,11470,9000,5570,,1.36,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,tred,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,paky,611.72,,72,378.152,,,11160,9000,5860,,59.72,-11.848,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,obua,505.51,,,505.65,66.47,,9290,,13460,,-24.49,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,akapo,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,konko,424.81,,,205.57,,,3150,,7350,,14.81,-14.43,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kodi,584.53,,72,477.09,,,10800,9000,20400,,62.53,-22.91,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,hema,1422.88,,,572.75,,,16910,,15710,,2.88,2.75,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,toas,3196.73,,,2892.9,,,19990,,40330,,-43.27,32.9,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,otaf,0,,,406.82,,,2330,,10190,,0,46.82,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,aboab,115.62,,,101.79,,,2560,,2150,,-24.38,-28.21,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,asuos,404.29,,,339.79,,,2000,,4590,,-45.71,-10.21,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,akrop,372.85,,,736.72,,,12580,,13560,,2.85,6.72,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,tep,465.42,,,554.32,,,7630,,6120,,-4.58,4.32,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,anyi,279.55,,,0,,,1840,,940,,39.55,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ahen,106.76,,,796.71,,,7570,,19270,,-3.24,-23.29,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,abof1,439.5,,,1705.22,,,12860,,11960,,9.5,25.22,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,abof2,172.94,,,339.82,,,6970,,6890,,-7.06,29.82,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,nyin,1325.72,,144,345.45,,,25820,18000,25360,,-18.28,5.45,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,adank,57.75,,,35.53,,,1690,,9540,,-2.25,5.53,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,aboas,1671.57,,72,1271.631,,,16170,9000,19170,,-40.43,-38.369,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,atagogo,325.56,,,265.63,,,3800,,6510,,5.56,5.63,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,wiam,1086.3,,,787.24,,,5890,,3900,,-53.7,17.24,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,agon,2070.732,,,1011.643,,,6780,,22290,,40.732,11.643,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,droman,174.65,,,67.29,,,9080,,1720,,-15.35,17.29,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ejur,444.21,,,24.87,,,8520,,8540,,44.21,-5.13,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,agon2,492.03,,,481.26,,,6510,,17200,,2.03,31.26,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kube,61.76,,,169.9,,,8650,,7720,,-18.24,9.9,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,suny,429.73,,,432.23,,,6780,,6490,,9.73,2.23,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,yawh,503.18,,,379.14,,,2890,,8920,,-6.82,9.14,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,mantuk,207.15,,,270.03,,,9040,,4400,,7.15,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,drob,213.01,,,75.03,,,7800,,8290,,3.01,5.03,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,afrisi,974.31,,,387.06,,,4780,,8990,,14.31,7.06,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ntrotr,1245.36,20.25,,102.51,20.22,,10420,,21620,,5.11,-7.71,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,chira,261.91,,,1401.58,,,7140,,2520,,11.91,21.58,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,nsoatr,809.9,,,914.54,,,8490,,18460,,9.9,24.54,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,tnkwae,328.18,,,71.06,,,570,,5380,,18.18,1.06,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,tforik,383.45,,,58.14,,,7030,,8450,,13.45,-1.86,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,wkoase,608.41,,,114,,,5500,,6970,,-31.59,24,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,mks1,195.21,,,467.1,,,5980,,1860,,-14.79,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,mks2,399.35,,,405.24,,,3000,,2340,,-20.65,35.24,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,mks3,493.9,,,988.68,,,4380,,5020,,23.9,18.68,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,mks4,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,salt1,311.5,,,484.36,,,12800,,3140,,1.5,-15.64,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,salt2,233.92,,,446.35,,,3680,,1900,,13.92,-23.65,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,afosu,174.76,,,162.47,,,9200,,3180,,54.76,42.47,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,asik,1674.06,,,363.69,21,72,7080,,4640,4500,24.06,-119.31,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ajuk,677.14,,,280.56,,,3590,,3040,,7.14,-9.44,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,jamr,1428.88,,,232.42,,,7070,,5530,,-1.12,-7.58,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kunt,381.14,,,186.68,,,3080,,4990,,1.14,-3.32,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kas1,337.03,,,85.78,,,3610,,1670,,-2.97,15.78,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kas2,157.08,,,126.61,,,3000,,3150,,7.08,6.61,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,kas3,456.9,,,340.34,,,2480,,4030,,6.9,-9.66,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,fett,1517.74,,,2341.34,,72,4930,,12660,4500,-32.26,29.34,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,apajn,1157.07,,108,237.79,,,14020,13500,9430,,-90.93,-2.21,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,eshie,738.94,,,165.39,,,3830,,4800,,-1.06,-4.61,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,swed,308.47,,,282.9,,,2470,,12090,,-11.53,22.9,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ccoast,833.64,,,0,,,16400,,2120,,-36.36,0,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,jukw,1713.16,,,705.71,,,10640,,2380,,-46.84,25.71,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,ankwant,144.21,,,203.43,,,2720,,2130,,4.21,-6.57,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,elub,1305.03,,,16699.8,,,37730,,53210,,-14.97,409.8,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,tako,753.23,,,400.03,,,13640,,5580,,-6.77,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,daboa,353.7,,,625.33,,,4980,,8420,,43.7,-74.67,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,esip,210.67,,,98.19,,,8970,,3270,,-9.33,8.19,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,bawd,879.21,,,1163.91,,,11160,,18880,,19.21,53.91,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,debi,2829.82,,,1695.07,,,30600,,36380,,29.82,25.07,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,anymame,1531.02,,,1236.02,,,15860,,18280,,1.02,6.02,,,,,,,,,,,,,,,,,,,,,,,,,
Wed.20.NOV,tetr,428.76,,,356.76,,,15910,,2870,,-21.24,6.76,,,,,,,,,,,,,,,,,,,,,,,,,
Thurs.21.NOV,odor,329.72,,,282.97,,,2200,,4800,,9.72,2.97,,,,,,,,,,,,,,,,,,,,,,,,,
Thurs.21.NOV,shuk1,201.18,,,50.39,,,1490,,1730,,1.18,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
Thurs.21.NOV,shuk2,168.84,,,51.25,,,2550,,1200,,38.84,-28.75,,,,,,,,,,,,,,,,,,,,,,,,,
Thurs.21.NOV,agbo,283.13,,,314.98,,,3410,,8490,,-16.87,4.98,,,,,,,,,,,,,,,,,,,,,,,,,
